# Program:featureCounts v2.0.8; Command:"featureCounts" "-a" "genes.gtf" "-p" "--countReadPairs" "-o" "feature-count/counts.txt" "-T" "2" "-t" "exon" "-g" "gene_id" "bam-files/read_output.bam" "bam-files/read_output2.bam" "bam-files/read_output3.bam" 
Geneid	Chr	Start	End	Strand	Length	bam-files/read_output.bam	bam-files/read_output2.bam	bam-files/read_output3.bam
YBL018C	chrII;chrII	186001;186431	186355;186477	-;-	402	0	0	0
YBL017C	chrII	186847	191586	-	4740	0	0	0
YBL016W	chrII	192454	193515	+	1062	0	0	0
YBL015W	chrII	194125	195705	+	1581	0	0	0
tI(AAU)B	chrII	197497	197570	+	74	0	0	0
tG(GCC)B	chrII	197632	197702	-	71	0	0	0
YBL014C	chrII	199067	201751	-	2685	0	0	0
YBL013W	chrII	202059	203264	+	1206	0	0	0
YBL012C	chrII	203409	203810	-	402	0	0	0
YBL011W	chrII	203541	205820	+	2280	0	0	0
YBL010C	chrII	206110	206952	-	843	0	0	0
YBL009W	chrII	207197	209227	+	2031	0	0	0
YBL008W-A	chrII	209412	209651	+	240	0	0	0
YBL008W	chrII	209656	212178	+	2523	0	0	0
YBL007C	chrII	212635	216369	-	3735	0	0	0
YBL006C	chrII	216590	217132	-	543	0	0	0
YBL006W-A	chrII	216714	216863	+	150	0	0	0
YBL005W	chrII	217473	220403	+	2931	0	0	0
YBL005W-B	chrII;chrII	221333;222639	222637;226601	+;+	5268	0	0	0
YBL005W-A	chrII	221333	222655	+	1323	0	0	0
tS(AGA)B	chrII	227078	227159	+	82	0	0	0
YBL004W	chrII	227639	235120	+	7482	0	0	0
YBL003C	chrII	235397	235795	-	399	0	0	0
YBL002W	chrII	236495	236890	+	396	0	0	0
YBL001C	chrII	237155	237469	-	315	0	0	0
YBR001C	chrII	238943	241285	-	2343	0	0	0
YBR002C	chrII	241710	242570	-	861	0	0	0
YBR003W	chrII	242811	244232	+	1422	0	0	0
YBR004C	chrII	244368	245669	-	1302	0	0	0
YBR005W	chrII	245908	246549	+	642	0	0	0
YBR006W	chrII	247012	248505	+	1494	0	0	0
YBR007C	chrII	248807	251017	-	2211	0	0	0
YBR008C	chrII	252564	254210	-	1647	0	0	0
YBR009C	chrII	255371	255682	-	312	0	0	0
YBR010W	chrII	256329	256739	+	411	0	0	0
YBR011C	chrII	257110	257973	-	864	0	0	0
YBR012C	chrII	259145	259564	-	420	0	0	0
YBR012W-B	chrII;chrII	259867;261173	261171;265138	+;+	5271	0	0	0
YBR012W-A	chrII	259867	261189	+	1323	0	0	0
YBR013C	chrII	265490	265879	-	390	0	0	0
tT(AGU)B	chrII	266378	266450	+	73	0	0	0
YBR014C	chrII	266725	267336	-	612	0	0	0
YBR015C	chrII	267710	269503	-	1794	0	0	0
YBR016W	chrII	270247	270633	+	387	0	0	0
YBR017C	chrII	270947	273703	-	2757	0	0	0
YBR018C	chrII	274427	275527	-	1101	0	0	0
YBR019C	chrII	276253	278352	-	2100	0	0	0
YBR020W	chrII	279021	280607	+	1587	0	0	0
YBR021W	chrII	281443	283344	+	1902	0	0	0
YBR022W	chrII	283738	284271	+	534	0	0	0
YBR023C	chrII	284428	287925	-	3498	0	0	0
YBR024W	chrII	289445	290350	+	906	0	0	0
YBR025C	chrII	290681	291865	-	1185	0	0	0
YBR026C	chrII	292877	294019	-	1143	0	0	0
YBR027C	chrII	294024	294356	-	333	0	0	0
YBR028C	chrII	294425	296002	-	1578	0	0	0
YBR029C	chrII	296369	297742	-	1374	0	0	0
YBR030W	chrII	298292	299950	+	1659	0	0	0
YBR031W	chrII	300166	301254	+	1089	0	0	0
YBR032W	chrII	301519	301821	+	303	0	0	0
YBR033W	chrII	301944	304703	+	2760	0	0	0
YBR034C	chrII	304930	305976	-	1047	0	0	0
YBR035C	chrII	306269	306955	-	687	0	0	0
snR161	chrII	307185	307345	-	161	0	0	0
TLC1	chrII	307587	308887	+	1301	0	0	0
YBR036C	chrII	309081	310313	-	1233	0	0	0
YBR037C	chrII	310564	311451	-	888	0	0	0
YBR038W	chrII	311897	314788	+	2892	0	0	0
YBR039W	chrII	315575	316510	+	936	0	0	0
YBR040W	chrII	316968	317864	+	897	0	0	0
YBR041W	chrII	318266	320275	+	2010	0	0	0
YBR042C	chrII	320416	321609	-	1194	0	0	0
YBR043C	chrII	321876	323945	-	2070	0	0	0
YBR044C	chrII	324337	326058	-	1722	0	0	0
tV(UAC)B	chrII	326791	326864	-	74	0	0	0
YBR045C	chrII	328369	330090	-	1722	0	0	0
YBR046C	chrII	330505	331509	-	1005	0	0	0
YBR047W	chrII	331831	332358	+	528	0	0	0
YBR048W	chrII;chrII	332829;333385	332873;333810	+;+	471	0	0	0
YBR049C	chrII	334384	336816	-	2433	0	0	0
YBR050C	chrII	337181	338197	-	1017	0	0	0
YBR051W	chrII	337986	338336	+	351	0	0	0
YBR052C	chrII	338718	339350	-	633	0	0	0
YBR053C	chrII	339673	340749	-	1077	0	0	0
YBR054W	chrII	343099	344133	+	1035	0	0	0
YBR055C	chrII	344600	347299	-	2700	0	0	0
tL(UAA)B2	chrII	347601	347684	+	84	0	0	0
YBR056W	chrII	347877	349382	+	1506	0	0	0
tQ(UUG)B	chrII	350825	350896	+	72	0	0	0
YBR056W-A	chrII	351253	351453	+	201	0	0	0
YBR056C-B	chrII	351291	351449	-	159	0	0	0
YBR057C	chrII	352191	353291	-	1101	0	0	0
YBR058C	chrII	353670	356015	-	2346	0	0	0
YBR058C-A	chrII	356322	356564	-	243	0	0	0
YBR059C	chrII	356859	360185	-	3327	0	0	0
YBR060C	chrII	360650	362512	-	1863	0	0	0
YBR061C	chrII	364785	365717	-	933	0	0	0
YBR062C	chrII;chrII	365974;366583	366500;366598	-;-	543	0	0	0
YBR063C	chrII	366968	368182	-	1215	0	0	0
YBR064W	chrII	367761	368189	+	429	0	0	0
YBR065C	chrII	368582	369676	-	1095	0	0	0
YBR066C	chrII	370035	370697	-	663	0	0	0
YBR067C	chrII	372100	372732	-	633	0	0	0
YBR068C	chrII	373858	375687	-	1830	0	0	0
YBR069C	chrII	376571	378430	-	1860	0	0	0
YBR070C	chrII	379218	379931	-	714	0	0	0
YBR071W	chrII	380408	381043	+	636	0	0	0
YBR072W	chrII	382027	382671	+	645	0	0	0
YBR072C-A	chrII	382855	383016	-	162	0	0	0
YBR073W	chrII	383107	385983	+	2877	0	0	0
YBR074W	chrII	386281	389211	+	2931	0	0	0
YBR076W	chrII	390369	391388	+	1020	0	0	0
YBR076C-A	chrII	391345	391611	-	267	0	0	0
YBR077C	chrII	391799	392287	-	489	0	0	0
YBR078W	chrII;chrII	393118;393506	393175;394854	+;+	1407	0	0	0
YBR079C	chrII	395377	398271	-	2895	0	0	0
YBR080C	chrII	398608	400884	-	2277	0	0	0
YBR081C	chrII	401247	405245	-	3999	0	0	0
tR(UCU)B	chrII	405872	405943	+	72	0	0	0
tD(GUC)B	chrII	405954	406025	+	72	0	0	0
YBR082C	chrII;chrII	406622;407117	407021;407163	-;-	447	0	0	0
YBR083W	chrII	409163	410623	+	1461	0	0	0
YBR084W	chrII	411048	413975	+	2928	0	0	0
YBR084C-A	chrII;chrII	414180;415254	414747;415255	-;-	570	0	0	0
YBR085W	chrII	415977	416900	+	924	0	0	0
YBR085C-A	chrII	418901	419158	-	258	0	0	0
YBR086C	chrII	420195	423035	-	2841	0	0	0
YBR087W	chrII	423759	424823	+	1065	0	0	0
YBR088C	chrII	424984	425760	-	777	0	0	0
YBR089W	chrII	425177	425776	+	600	0	0	0
YBR089C-A	chrII	426184	426483	-	300	0	0	0
YBR090C	chrII;chrII	426327;426868	426510;427052	-;-	369	0	0	0
YBR091C	chrII	427149	427478	-	330	0	0	0
YBR092C	chrII	427692	429095	-	1404	0	0	0
YBR093C	chrII	429542	430945	-	1404	0	0	0
YBR094W	chrII	432030	434291	+	2262	0	0	0
YBR095C	chrII	434400	435692	-	1293	0	0	0
YBR096W	chrII	436015	436707	+	693	0	0	0
YBR097W	chrII	436945	441309	+	4365	0	0	0
YBR098W	chrII	441509	443584	+	2076	0	0	0
YBR099C	chrII	442918	443301	-	384	0	0	0
YBR101C	chrII	443815	444687	-	873	0	0	0
YBR102C	chrII	445056	447317	-	2262	0	0	0
YBR103W	chrII	447703	449310	+	1608	0	0	0
YBR103C-A	chrII	449314	449457	-	144	0	0	0
YBR104W	chrII	449661	450650	+	990	0	0	0
YBR105C	chrII	450875	451963	-	1089	0	0	0
YBR106W	chrII	452652	453218	+	567	0	0	0
YBR107C	chrII	453787	454524	-	738	0	0	0
YBR108W	chrII	454816	457659	+	2844	0	0	0
YBR109C	chrII	457913	458356	-	444	0	0	0
YBR109W-A	chrII	458602	458826	+	225	0	0	0
YBR110W	chrII	458866	460215	+	1350	0	0	0
YBR111C	chrII	461172	461867	-	696	0	0	0
YBR111W-A	chrII;chrII;chrII	462133;462284;462494	462203;462423;462573	+;+;+	291	0	0	0
YBR112C	chrII	462864	465764	-	2901	0	0	0
YBR113W	chrII	465560	466042	+	483	0	0	0
YBR114W	chrII	467242	469614	+	2373	0	0	0
YBR115C	chrII	469742	473920	-	4179	0	0	0
YBR116C	chrII	474193	474720	-	528	0	0	0
YBR117C	chrII	474386	476431	-	2046	0	0	0
YBR118W	chrII	477665	479041	+	1377	0	0	0
YBR119W	chrII;chrII	479332;479429	479339;480317	+;+	897	0	0	0
YBR120C	chrII	480429	480917	-	489	0	0	0
YBR121C	chrII	481358	483361	-	2004	0	0	0
YBR121C-A	chrII	482320	482478	-	159	0	0	0
YBR122C	chrII	483964	484497	-	534	0	0	0
YBR123C	chrII	484736	486685	-	1950	0	0	0
YBR124W	chrII	486501	486860	+	360	0	0	0
YBR125C	chrII	487193	488374	-	1182	0	0	0
YBR126C	chrII	488899	490386	-	1488	0	0	0
YBR126W-A	chrII	490844	491050	+	207	0	0	0
YBR126W-B	chrII	490921	491064	+	144	0	0	0
YBR127C	chrII	491263	492816	-	1554	0	0	0
YBR128C	chrII	493075	494109	-	1035	0	0	0
YBR129C	chrII	494347	495333	-	987	0	0	0
YBR130C	chrII	495586	496863	-	1278	0	0	0
YBR131W	chrII	497157	499271	+	2115	0	0	0
YBR131C-A	chrII	497644	497733	-	90	0	0	0
YBR132C	chrII	499646	501436	-	1791	0	0	0
YBR133C	chrII	501798	504281	-	2484	0	0	0
YBR134W	chrII	504237	504638	+	402	0	0	0
YBR135W	chrII	504848	505300	+	453	0	0	0
YBR136W	chrII	505662	512768	+	7107	0	0	0
YBR137W	chrII	513038	513577	+	540	0	0	0
YBR138C	chrII	513756	515330	-	1575	0	0	0
YBR139W	chrII	515658	517184	+	1527	0	0	0
YBR140C	chrII	517344	526622	-	9279	0	0	0
YBR141C	chrII	527019	528032	-	1014	0	0	0
YBR141W-A	chrII	527161	527256	+	96	0	0	0
YBR142W	chrII	528311	530632	+	2322	0	0	0
YBR143C	chrII	530863	532176	-	1314	0	0	0
YBR144C	chrII	533229	533543	-	315	0	0	0
YBR145W	chrII	533756	534811	+	1056	0	0	0
YBR146W	chrII	535254	536090	+	837	0	0	0
YBR147W	chrII	536569	537459	+	891	0	0	0
YBR148W	chrII	537870	539699	+	1830	0	0	0
YBR149W	chrII	539981	541015	+	1035	0	0	0
YBR150C	chrII	541203	544487	-	3285	0	0	0
YBR151W	chrII	545022	545972	+	951	0	0	0
YBR152W	chrII	546370	547245	+	876	0	0	0
YBR153W	chrII	547454	548188	+	735	0	0	0
YBR154C	chrII	548356	549003	-	648	0	0	0
YBR155W	chrII	549765	550922	+	1158	0	0	0
YBR156C	chrII	551098	553194	-	2097	0	0	0
YBR157C	chrII	553537	554304	-	768	0	0	0
YBR158W	chrII	556543	558192	+	1650	0	0	0
YBR159W	chrII	558679	559722	+	1044	0	0	0
YBR160W	chrII	560072	560968	+	897	0	0	0
YBR161W	chrII	561629	562759	+	1131	0	0	0
YBR162C	chrII	563198	564565	-	1368	0	0	0
YBR162W-A	chrII	565226	565423	+	198	0	0	0
YBR163W	chrII	565718	567475	+	1758	0	0	0
YBR164C	chrII	567870	568421	-	552	0	0	0
YBR165W	chrII	568847	569680	+	834	0	0	0
YBR166C	chrII	569837	571195	-	1359	0	0	0
YBR167C	chrII	571463	571885	-	423	0	0	0
YBR168W	chrII	572366	573607	+	1242	0	0	0
YBR169C	chrII	573910	575991	-	2082	0	0	0
YBR170C	chrII	576339	578081	-	1743	0	0	0
YBR171W	chrII	578359	578979	+	621	0	0	0
YBR172C	chrII	579145	581367	-	2223	0	0	0
YBR173C	chrII	581721	582167	-	447	0	0	0
YBR174C	chrII	582333	582647	-	315	0	0	0
YBR175W	chrII	582403	583350	+	948	0	0	0
YBR176W	chrII	583715	584653	+	939	0	0	0
YBR177C	chrII	584802	586157	-	1356	0	0	0
YBR178W	chrII	586066	586440	+	375	0	0	0
YBR179C	chrII	586542	589109	-	2568	0	0	0
YBR180W	chrII	589736	591454	+	1719	0	0	0
YBR181C	chrII;chrII	591707;592764	592411;592769	-;-	711	0	0	0
YBR182C	chrII	593501	594859	-	1359	0	0	0
YBR182C-A	chrII	595356	595550	-	195	0	0	0
YBR183W	chrII	596110	597060	+	951	0	0	0
YBR184W	chrII	597358	598929	+	1572	0	0	0
YBR185C	chrII	599118	599954	-	837	0	0	0
YBR186W	chrII;chrII	600548;602212	602098;602355	+;+	1695	0	0	0
YBR187W	chrII	602629	603471	+	843	0	0	0
YBR188C	chrII	603680	604102	-	423	0	0	0
YBR189W	chrII;chrII	604503;604923	604509;605503	+;+	588	0	0	0
YBR190W	chrII	605961	606272	+	312	0	0	0
YBR191W	chrII;chrII	606265;606664	606275;607135	+;+	483	0	0	0
YBR191W-A	chrII	607144	607218	+	75	0	0	0
YBR192W	chrII	607647	608780	+	1134	0	0	0
YBR193C	chrII	609077	609748	-	672	0	0	0
YBR194W	chrII	610033	610404	+	372	0	0	0
YBR195C	chrII	610609	611877	-	1269	0	0	0
YBR196C	chrII	612231	613895	-	1665	0	0	0
YBR196C-A	chrII	614019	614168	-	150	0	0	0
YBR196C-B	chrII	614521	614625	-	105	0	0	0
